dbscan-minpts;dbscan-eps;kmedoids-shareOfClusters;generalOverlap;avgClusterOverlap
4;0.9700000000000002;0.30000000000000004;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.30000000000000004;0.4925373134328358;0.5340384615384615
5;0.75;0.30000000000000004;0.17164179104477612;0.22615384615384615
5;0.77;0.30000000000000004;0.1865671641791045;0.2344871794871795
5;0.79;0.30000000000000004;0.22388059701492538;0.24833333333333335
5;0.81;0.30000000000000004;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.30000000000000004;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.30000000000000004;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.30000000000000004;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.30000000000000004;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.30000000000000004;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.30000000000000004;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.30000000000000004;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.30000000000000004;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.30000000000000004;0.4925373134328358;0.5340384615384615
2;0.75;0.4;0.29850746268656714;0.3471386946386946
2;0.77;0.4;0.3208955223880597;0.3577738927738928
2;0.79;0.4;0.3880597014925373;0.38487762237762235
2;0.81;0.4;0.417910447761194;0.4451340326340326
2;0.8300000000000001;0.4;0.43283582089552236;0.45705710955710954
2;0.8500000000000001;0.4;0.44029850746268656;0.45898018648018646
2;0.8700000000000001;0.4;0.4552238805970149;0.5131468531468532
2;0.8900000000000001;0.4;0.48507462686567165;0.5321153846153845
2;0.9100000000000001;0.4;0.48507462686567165;0.5321153846153845
2;0.9300000000000002;0.4;0.4925373134328358;0.5340384615384615
2;0.9500000000000002;0.4;0.4925373134328358;0.5340384615384615
2;0.9700000000000002;0.4;0.4925373134328358;0.5340384615384615
2;0.9900000000000002;0.4;0.4925373134328358;0.5340384615384615
3;0.75;0.4;0.26119402985074625;0.3113811188811189
3;0.77;0.4;0.26865671641791045;0.31592657342657343
3;0.79;0.4;0.31343283582089554;0.33431818181818185
3;0.81;0.4;0.3805970149253731;0.42354312354312357
3;0.8300000000000001;0.4;0.40298507462686567;0.43963286713286714
3;0.8500000000000001;0.4;0.4253731343283582;0.44988927738927736
3;0.8700000000000001;0.4;0.4552238805970149;0.5131468531468532
3;0.8900000000000001;0.4;0.48507462686567165;0.5321153846153845
3;0.9100000000000001;0.4;0.48507462686567165;0.5321153846153845
3;0.9300000000000002;0.4;0.4925373134328358;0.5340384615384615
3;0.9500000000000002;0.4;0.4925373134328358;0.5340384615384615
3;0.9700000000000002;0.4;0.4925373134328358;0.5340384615384615
3;0.9900000000000002;0.4;0.4925373134328358;0.5340384615384615
4;0.75;0.4;0.208955223880597;0.2844871794871795
4;0.77;0.4;0.2462686567164179;0.30229020979020976
4;0.79;0.4;0.291044776119403;0.3206818181818182
4;0.81;0.4;0.31343283582089554;0.3371503496503497
4;0.8300000000000001;0.4;0.373134328358209;0.37861888111888115
4;0.8500000000000001;0.4;0.40298507462686567;0.3937995337995338
4;0.8700000000000001;0.4;0.4552238805970149;0.5131468531468532
4;0.8900000000000001;0.4;0.48507462686567165;0.5321153846153845
4;0.9100000000000001;0.4;0.48507462686567165;0.5321153846153845
4;0.9300000000000002;0.4;0.4925373134328358;0.5340384615384615
4;0.9500000000000002;0.4;0.4925373134328358;0.5340384615384615
4;0.9700000000000002;0.4;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.4;0.4925373134328358;0.5340384615384615
5;0.75;0.4;0.17164179104477612;0.22615384615384615
5;0.77;0.4;0.1865671641791045;0.2344871794871795
5;0.79;0.4;0.22388059701492538;0.24833333333333335
5;0.81;0.4;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.4;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.4;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.4;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.4;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.4;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.4;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.4;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.4;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.4;0.4925373134328358;0.5340384615384615
2;0.75;0.5;0.29850746268656714;0.3471386946386946
2;0.77;0.5;0.3208955223880597;0.3577738927738928
2;0.79;0.5;0.3880597014925373;0.38487762237762235
2;0.81;0.5;0.417910447761194;0.4451340326340326
2;0.8300000000000001;0.5;0.43283582089552236;0.45705710955710954
2;0.8500000000000001;0.5;0.44029850746268656;0.45898018648018646
2;0.8700000000000001;0.5;0.4552238805970149;0.5131468531468532
2;0.8900000000000001;0.5;0.48507462686567165;0.5321153846153845
2;0.9100000000000001;0.5;0.48507462686567165;0.5321153846153845
2;0.9300000000000002;0.5;0.4925373134328358;0.5340384615384615
2;0.9500000000000002;0.5;0.4925373134328358;0.5340384615384615
2;0.9700000000000002;0.5;0.4925373134328358;0.5340384615384615
2;0.9900000000000002;0.5;0.4925373134328358;0.5340384615384615
3;0.75;0.5;0.26119402985074625;0.3113811188811189
3;0.77;0.5;0.26865671641791045;0.31592657342657343
3;0.79;0.5;0.31343283582089554;0.33431818181818185
3;0.81;0.5;0.3805970149253731;0.42354312354312357
3;0.8300000000000001;0.5;0.40298507462686567;0.43963286713286714
3;0.8500000000000001;0.5;0.4253731343283582;0.44988927738927736
3;0.8700000000000001;0.5;0.4552238805970149;0.5131468531468532
3;0.8900000000000001;0.5;0.48507462686567165;0.5321153846153845
3;0.9100000000000001;0.5;0.48507462686567165;0.5321153846153845
3;0.9300000000000002;0.5;0.4925373134328358;0.5340384615384615
3;0.9500000000000002;0.5;0.4925373134328358;0.5340384615384615
3;0.9700000000000002;0.5;0.4925373134328358;0.5340384615384615
3;0.9900000000000002;0.5;0.4925373134328358;0.5340384615384615
4;0.75;0.5;0.208955223880597;0.2844871794871795
4;0.77;0.5;0.2462686567164179;0.30229020979020976
4;0.79;0.5;0.291044776119403;0.3206818181818182
4;0.81;0.5;0.31343283582089554;0.3371503496503497
4;0.8300000000000001;0.5;0.373134328358209;0.37861888111888115
4;0.8500000000000001;0.5;0.40298507462686567;0.3937995337995338
4;0.8700000000000001;0.5;0.4552238805970149;0.5131468531468532
4;0.8900000000000001;0.5;0.48507462686567165;0.5321153846153845
4;0.9100000000000001;0.5;0.48507462686567165;0.5321153846153845
4;0.9300000000000002;0.5;0.4925373134328358;0.5340384615384615
4;0.9500000000000002;0.5;0.4925373134328358;0.5340384615384615
4;0.9700000000000002;0.5;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.5;0.4925373134328358;0.5340384615384615
5;0.75;0.5;0.17164179104477612;0.22615384615384615
5;0.77;0.5;0.1865671641791045;0.2344871794871795
5;0.79;0.5;0.22388059701492538;0.24833333333333335
5;0.81;0.5;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.5;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.5;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.5;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.5;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.5;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.5;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.5;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.5;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.5;0.4925373134328358;0.5340384615384615
2;0.75;0.6;0.29850746268656714;0.3471386946386946
2;0.77;0.6;0.3208955223880597;0.3577738927738928
2;0.79;0.6;0.3880597014925373;0.38487762237762235
2;0.81;0.6;0.417910447761194;0.4451340326340326
2;0.8300000000000001;0.6;0.43283582089552236;0.45705710955710954
2;0.8500000000000001;0.6;0.44029850746268656;0.45898018648018646
2;0.8700000000000001;0.6;0.4552238805970149;0.5131468531468532
2;0.8900000000000001;0.6;0.48507462686567165;0.5321153846153845
2;0.9100000000000001;0.6;0.48507462686567165;0.5321153846153845
2;0.9300000000000002;0.6;0.4925373134328358;0.5340384615384615
2;0.9500000000000002;0.6;0.4925373134328358;0.5340384615384615
2;0.9700000000000002;0.6;0.4925373134328358;0.5340384615384615
2;0.9900000000000002;0.6;0.4925373134328358;0.5340384615384615
3;0.75;0.6;0.26119402985074625;0.3113811188811189
3;0.77;0.6;0.26865671641791045;0.31592657342657343
3;0.79;0.6;0.31343283582089554;0.33431818181818185
3;0.81;0.6;0.3805970149253731;0.42354312354312357
3;0.8300000000000001;0.6;0.40298507462686567;0.43963286713286714
3;0.8500000000000001;0.6;0.4253731343283582;0.44988927738927736
3;0.8700000000000001;0.6;0.4552238805970149;0.5131468531468532
3;0.8900000000000001;0.6;0.48507462686567165;0.5321153846153845
3;0.9100000000000001;0.6;0.48507462686567165;0.5321153846153845
3;0.9300000000000002;0.6;0.4925373134328358;0.5340384615384615
3;0.9500000000000002;0.6;0.4925373134328358;0.5340384615384615
3;0.9700000000000002;0.6;0.4925373134328358;0.5340384615384615
3;0.9900000000000002;0.6;0.4925373134328358;0.5340384615384615
4;0.75;0.6;0.208955223880597;0.2844871794871795
4;0.77;0.6;0.2462686567164179;0.30229020979020976
4;0.79;0.6;0.291044776119403;0.3206818181818182
4;0.81;0.6;0.31343283582089554;0.3371503496503497
4;0.8300000000000001;0.6;0.373134328358209;0.37861888111888115
4;0.8500000000000001;0.6;0.40298507462686567;0.3937995337995338
4;0.8700000000000001;0.6;0.4552238805970149;0.5131468531468532
4;0.8900000000000001;0.6;0.48507462686567165;0.5321153846153845
4;0.9100000000000001;0.6;0.48507462686567165;0.5321153846153845
4;0.9300000000000002;0.6;0.4925373134328358;0.5340384615384615
4;0.9500000000000002;0.6;0.4925373134328358;0.5340384615384615
4;0.9700000000000002;0.6;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.6;0.4925373134328358;0.5340384615384615
5;0.75;0.6;0.17164179104477612;0.22615384615384615
5;0.77;0.6;0.1865671641791045;0.2344871794871795
5;0.79;0.6;0.22388059701492538;0.24833333333333335
5;0.81;0.6;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.6;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.6;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.6;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.6;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.6;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.6;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.6;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.6;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.6;0.4925373134328358;0.5340384615384615
2;0.75;0.7;0.29850746268656714;0.3471386946386946
2;0.77;0.7;0.3208955223880597;0.3577738927738928
2;0.79;0.7;0.3880597014925373;0.38487762237762235
2;0.81;0.7;0.417910447761194;0.4451340326340326
2;0.8300000000000001;0.7;0.43283582089552236;0.45705710955710954
2;0.8500000000000001;0.7;0.44029850746268656;0.45898018648018646
2;0.8700000000000001;0.7;0.4552238805970149;0.5131468531468532
2;0.8900000000000001;0.7;0.48507462686567165;0.5321153846153845
2;0.9100000000000001;0.7;0.48507462686567165;0.5321153846153845
2;0.9300000000000002;0.7;0.4925373134328358;0.5340384615384615
2;0.9500000000000002;0.7;0.4925373134328358;0.5340384615384615
2;0.9700000000000002;0.7;0.4925373134328358;0.5340384615384615
2;0.9900000000000002;0.7;0.4925373134328358;0.5340384615384615
3;0.75;0.7;0.26119402985074625;0.3113811188811189
3;0.77;0.7;0.26865671641791045;0.31592657342657343
3;0.79;0.7;0.31343283582089554;0.33431818181818185
3;0.81;0.7;0.3805970149253731;0.42354312354312357
3;0.8300000000000001;0.7;0.40298507462686567;0.43963286713286714
3;0.8500000000000001;0.7;0.4253731343283582;0.44988927738927736
3;0.8700000000000001;0.7;0.4552238805970149;0.5131468531468532
3;0.8900000000000001;0.7;0.48507462686567165;0.5321153846153845
3;0.9100000000000001;0.7;0.48507462686567165;0.5321153846153845
3;0.9300000000000002;0.7;0.4925373134328358;0.5340384615384615
3;0.9500000000000002;0.7;0.4925373134328358;0.5340384615384615
3;0.9700000000000002;0.7;0.4925373134328358;0.5340384615384615
3;0.9900000000000002;0.7;0.4925373134328358;0.5340384615384615
4;0.75;0.7;0.208955223880597;0.2844871794871795
4;0.77;0.7;0.2462686567164179;0.30229020979020976
4;0.79;0.7;0.291044776119403;0.3206818181818182
4;0.81;0.7;0.31343283582089554;0.3371503496503497
4;0.8300000000000001;0.7;0.373134328358209;0.37861888111888115
4;0.8500000000000001;0.7;0.40298507462686567;0.3937995337995338
4;0.8700000000000001;0.7;0.4552238805970149;0.5131468531468532
4;0.8900000000000001;0.7;0.48507462686567165;0.5321153846153845
4;0.9100000000000001;0.7;0.48507462686567165;0.5321153846153845
4;0.9300000000000002;0.7;0.4925373134328358;0.5340384615384615
4;0.9500000000000002;0.7;0.4925373134328358;0.5340384615384615
4;0.9700000000000002;0.7;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.7;0.4925373134328358;0.5340384615384615
5;0.75;0.7;0.17164179104477612;0.22615384615384615
5;0.77;0.7;0.1865671641791045;0.2344871794871795
5;0.79;0.7;0.22388059701492538;0.24833333333333335
5;0.81;0.7;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.7;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.7;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.7;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.7;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.7;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.7;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.7;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.7;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.7;0.4925373134328358;0.5340384615384615
2;0.75;0.7999999999999999;0.29850746268656714;0.3471386946386946
2;0.77;0.7999999999999999;0.3208955223880597;0.3577738927738928
2;0.79;0.7999999999999999;0.3880597014925373;0.38487762237762235
2;0.81;0.7999999999999999;0.417910447761194;0.4451340326340326
2;0.8300000000000001;0.7999999999999999;0.43283582089552236;0.45705710955710954
2;0.8500000000000001;0.7999999999999999;0.44029850746268656;0.45898018648018646
2;0.8700000000000001;0.7999999999999999;0.4552238805970149;0.5131468531468532
2;0.8900000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
2;0.9100000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
2;0.9300000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
2;0.9500000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
2;0.9700000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
2;0.9900000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
3;0.75;0.7999999999999999;0.26119402985074625;0.3113811188811189
3;0.77;0.7999999999999999;0.26865671641791045;0.31592657342657343
3;0.79;0.7999999999999999;0.31343283582089554;0.33431818181818185
3;0.81;0.7999999999999999;0.3805970149253731;0.42354312354312357
3;0.8300000000000001;0.7999999999999999;0.40298507462686567;0.43963286713286714
3;0.8500000000000001;0.7999999999999999;0.4253731343283582;0.44988927738927736
3;0.8700000000000001;0.7999999999999999;0.4552238805970149;0.5131468531468532
3;0.8900000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
3;0.9100000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
3;0.9300000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
3;0.9500000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
3;0.9700000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
3;0.9900000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
4;0.75;0.7999999999999999;0.208955223880597;0.2844871794871795
4;0.77;0.7999999999999999;0.2462686567164179;0.30229020979020976
4;0.79;0.7999999999999999;0.291044776119403;0.3206818181818182
4;0.81;0.7999999999999999;0.31343283582089554;0.3371503496503497
4;0.8300000000000001;0.7999999999999999;0.373134328358209;0.37861888111888115
4;0.8500000000000001;0.7999999999999999;0.40298507462686567;0.3937995337995338
4;0.8700000000000001;0.7999999999999999;0.4552238805970149;0.5131468531468532
4;0.8900000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
4;0.9100000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
4;0.9300000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
4;0.9500000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
4;0.9700000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
5;0.75;0.7999999999999999;0.17164179104477612;0.22615384615384615
5;0.77;0.7999999999999999;0.1865671641791045;0.2344871794871795
5;0.79;0.7999999999999999;0.22388059701492538;0.24833333333333335
5;0.81;0.7999999999999999;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.7999999999999999;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.7999999999999999;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.7999999999999999;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.7999999999999999;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.7999999999999999;0.4925373134328358;0.5340384615384615
2;0.75;0.8999999999999999;0.29850746268656714;0.3471386946386946
2;0.77;0.8999999999999999;0.3208955223880597;0.3577738927738928
2;0.79;0.8999999999999999;0.3880597014925373;0.38487762237762235
2;0.81;0.8999999999999999;0.417910447761194;0.4451340326340326
2;0.8300000000000001;0.8999999999999999;0.43283582089552236;0.45705710955710954
2;0.8500000000000001;0.8999999999999999;0.44029850746268656;0.45898018648018646
2;0.8700000000000001;0.8999999999999999;0.4552238805970149;0.5131468531468532
2;0.8900000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
2;0.9100000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
2;0.9300000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
2;0.9500000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
2;0.9700000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
2;0.9900000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
3;0.75;0.8999999999999999;0.26119402985074625;0.3113811188811189
3;0.77;0.8999999999999999;0.26865671641791045;0.31592657342657343
3;0.79;0.8999999999999999;0.31343283582089554;0.33431818181818185
3;0.81;0.8999999999999999;0.3805970149253731;0.42354312354312357
3;0.8300000000000001;0.8999999999999999;0.40298507462686567;0.43963286713286714
3;0.8500000000000001;0.8999999999999999;0.4253731343283582;0.44988927738927736
3;0.8700000000000001;0.8999999999999999;0.4552238805970149;0.5131468531468532
3;0.8900000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
3;0.9100000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
3;0.9300000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
3;0.9500000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
3;0.9700000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
3;0.9900000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
4;0.75;0.8999999999999999;0.208955223880597;0.2844871794871795
4;0.77;0.8999999999999999;0.2462686567164179;0.30229020979020976
4;0.79;0.8999999999999999;0.291044776119403;0.3206818181818182
4;0.81;0.8999999999999999;0.31343283582089554;0.3371503496503497
4;0.8300000000000001;0.8999999999999999;0.373134328358209;0.37861888111888115
4;0.8500000000000001;0.8999999999999999;0.40298507462686567;0.3937995337995338
4;0.8700000000000001;0.8999999999999999;0.4552238805970149;0.5131468531468532
4;0.8900000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
4;0.9100000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
4;0.9300000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
4;0.9500000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
4;0.9700000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
4;0.9900000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
5;0.75;0.8999999999999999;0.17164179104477612;0.22615384615384615
5;0.77;0.8999999999999999;0.1865671641791045;0.2344871794871795
5;0.79;0.8999999999999999;0.22388059701492538;0.24833333333333335
5;0.81;0.8999999999999999;0.26119402985074625;0.28146853146853146
5;0.8300000000000001;0.8999999999999999;0.34328358208955223;0.33278554778554775
5;0.8500000000000001;0.8999999999999999;0.3805970149253731;0.35137529137529133
5;0.8700000000000001;0.8999999999999999;0.43283582089552236;0.45405594405594407
5;0.8900000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
5;0.9100000000000001;0.8999999999999999;0.48507462686567165;0.5321153846153845
5;0.9300000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
5;0.9500000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
5;0.9700000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
5;0.9900000000000002;0.8999999999999999;0.4925373134328358;0.5340384615384615
